geometry_id,run_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,detect_threshold_GeV,detection_efficiency,eff_lo,eff_hi,energy_resolution
2f527494,run5ffbf80730,10,3,3,4,3.7644,4.477,4.4318,0.3617,0.5824,0.5559,0.1,5.0,,0.6923333333333334,0.008489235293711594,0.00836105579798807,0.3383426561205643
2f527494,run5ddb366cf4,10,3,3,4,3.7644,4.477,4.4318,0.3617,0.5824,0.5559,0.1,5.0,,0.6923333333333334,0.008489235293711594,0.00836105579798807,0.36767929576593794
2f527494,runc9ac4e6f8c,10,3,3,4,3.7644,4.477,4.4318,0.3617,0.5824,0.5559,0.1,5.0,,0.7023333333333334,0.008414181731697612,0.008279337790789043,0.33648379094031317
7c4ac019,rund3cc75716c,10,3,3,4,4.3764,3.5359,4.0962,0.4528,0.3852,0.342,0.1,5.0,,0.7063333333333334,0.00838283163931075,0.00824532192032812,0.3842164279787942
7c4ac019,run69997a475f,10,3,3,4,4.3764,3.5359,4.0962,0.4528,0.3852,0.342,0.1,5.0,,0.7096666666666667,0.008356116771581878,0.008216385570871121,0.40146353610072383
7c4ac019,rund1bfad50d2,10,3,3,4,4.3764,3.5359,4.0962,0.4528,0.3852,0.342,0.1,5.0,,0.703,0.008409009981434457,0.008273721744180174,0.3728782469600458
17adabbe,rund1482a0110,10,3,3,4,4.0338,4.4708,4.2889,0.3672,0.3588,0.4887,0.1,5.0,,0.6946666666666667,0.00847214257034079,0.008342408037407378,0.3700502499690594
17adabbe,run2c337324b0,10,3,3,4,4.0338,4.4708,4.2889,0.3672,0.3588,0.4887,0.1,5.0,,0.7016666666666667,0.008419332272605051,0.008284932628042196,0.37248191286976934
17adabbe,run0697664855,10,3,3,4,4.0338,4.4708,4.2889,0.3672,0.3588,0.4887,0.1,5.0,,0.7083333333333334,0.00836686744487003,0.008228024836850478,0.34698833502248905
c102832e,run7e135ec93c,10,3,3,4,4.2413,4.3247,4.4879,0.3429,0.5292,0.5727,0.1,5.0,,0.6736666666666666,0.008617010521956181,0.008501271323911097,0.3539228754063603
c102832e,run944803883c,10,3,3,4,4.2413,4.3247,4.4879,0.3429,0.5292,0.5727,0.1,5.0,,0.6893333333333334,0.008510840658494612,0.008384660496326468,0.3578009314196023
c102832e,run52ed4300ae,10,3,3,4,4.2413,4.3247,4.4879,0.3429,0.5292,0.5727,0.1,5.0,,0.6616666666666666,0.008690961466151781,0.008583219602328662,0.36907717098630954
7a0ea9c1,run38d32eadbf,10,3,3,4,4.0965,3.7721,3.7961,0.3063,0.537,0.4425,0.1,5.0,,0.676,0.008601896592722036,0.008484602357467064,0.369963084522371
7a0ea9c1,run3a63a37252,10,3,3,4,4.0965,3.7721,3.7961,0.3063,0.537,0.4425,0.1,5.0,,0.674,0.008614866172472757,0.008498904826254927,0.3733724468668959
7a0ea9c1,runc4c9cb44fb,10,3,3,4,4.0965,3.7721,3.7961,0.3063,0.537,0.4425,0.1,5.0,,0.684,0.00854822937189259,0.008425603580489716,0.36665122842195086
60566e56,run9139ad0e9a,10,3,3,4,3.5843,4.2497,3.6773,0.4132,0.5778,0.536,0.1,5.0,,0.7016666666666667,0.008419332272605051,0.008284932628042196,0.3689383877133563
60566e56,run6f44859a8d,10,3,3,4,3.5843,4.2497,3.6773,0.4132,0.5778,0.536,0.1,5.0,,0.7053333333333334,0.008390741234987953,0.008253897960524004,0.361059452099491
60566e56,run6be483c328,10,3,3,4,3.5843,4.2497,3.6773,0.4132,0.5778,0.536,0.1,5.0,,0.7146666666666667,0.008315026571010464,0.008171963147707184,0.3702620053612271
