geometry_id,run_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,detect_threshold_GeV,detection_efficiency,eff_lo,eff_hi,energy_resolution
962302af,run4543f4ae2e,10,3,3,4,4.4523,4.1405,4.0597,0.3345,0.5451,0.4907,0.1,5.0,,0.6733333333333333,0.008619149954098626,0.008503632904226288,0.36202259984475893
962302af,run6cf46ebab7,10,3,3,4,4.4523,4.1405,4.0597,0.3345,0.5451,0.4907,0.1,5.0,,0.6773333333333333,0.008593151361952267,0.008474968534006089,0.3739407050573722
962302af,runec0e1cc133,10,3,3,4,4.4523,4.1405,4.0597,0.3345,0.5451,0.4907,0.1,5.0,,0.6616666666666666,0.008690961466151781,0.008583219602328662,0.3531651090039117
459dc851,rune26ea885b5,10,3,3,4,3.5275,3.5489,4.2932,0.483,0.4354,0.4471,0.1,5.0,,0.719,0.008278413961978037,0.008132462612427949,0.38859493877330553
459dc851,run9170480e0a,10,3,3,4,3.5275,3.5489,4.2932,0.483,0.4354,0.4471,0.1,5.0,,0.7153333333333334,0.008309454729156118,0.008165947009507124,0.3700785758024171
459dc851,run0163158c42,10,3,3,4,3.5275,3.5489,4.2932,0.483,0.4354,0.4471,0.1,5.0,,0.7156666666666667,0.00830666053754714,0.008162930669725399,0.3691604494916132
1cebb154,run20c0745076,10,3,3,4,3.6162,3.5593,4.3525,0.5885,0.4457,0.5036,0.1,5.0,,0.6936666666666667,0.008479499060558338,0.008350430972143386,0.3937037988157398
1cebb154,run77c491a9fe,10,3,3,4,3.6162,3.5593,4.3525,0.5885,0.4457,0.5036,0.1,5.0,,0.6906666666666667,0.008501289615973628,0.008374220861114057,0.35899318846748873
1cebb154,runbc96a79554,10,3,3,4,3.6162,3.5593,4.3525,0.5885,0.4457,0.5036,0.1,5.0,,0.6896666666666667,0.00850846058085264,0.00838205827051175,0.3822754692293746
10c93ab7,run5c369a0c65,10,3,3,4,3.9511,4.4481,4.2353,0.3769,0.5848,0.5401,0.1,5.0,,0.6996666666666667,0.00843465704690649,0.008301590291380556,0.35667177014569373
